date,open,close,high,low,amount,instrument_key,instrument_name,ma20,ma25,ma60,ma120,ma200
2023-05-30,1025.83,1044.43,1047.47,1022.15,3913136.43,star50,科创50,1035.392,1045.3972,1056.6668333333332,1025.035,1027.03625
2023-05-31,1040.34,1053.91,1053.91,1037.63,4829285.11,star50,科创50,1033.694,1042.8804,1057.7504999999999,1025.4820833333333,1026.83125
2023-06-01,1048.95,1053.55,1067.23,1044.98,3934001.68,star50,科创50,1033.1615,1041.1672,1058.6613333333332,1025.8505833333334,1026.59725
2023-06-02,1055.95,1053.29,1059.25,1047.37,3758792.73,star50,科创50,1033.3715,1040.2244,1059.4223333333332,1026.2268333333334,1026.3091
2023-06-05,1063.15,1051.73,1068.3,1049.45,3735234.39,star50,科创50,1033.0975,1039.5332,1060.4415,1026.6279166666668,1025.7811
2023-06-06,1047.92,1022.98,1048.3,1021.0,3681389.88,star50,科创50,1032.536,1037.732,1060.9096666666667,1026.79325,1025.1331
2023-06-07,1023.95,1019.05,1026.46,1015.34,3250142.41,star50,科创50,1032.203,1034.9792,1061.2555,1026.9480833333334,1024.41675
2023-06-08,1012.66,1007.12,1014.57,1001.75,4100227.89,star50,科创50,1031.2604999999999,1032.696,1061.4816666666668,1027.0298333333333,1023.67155
2023-06-09,1008.9,1032.55,1032.55,1003.32,6871911.58,star50,科创50,1032.1825000000001,1032.0344,1062.0423333333333,1027.287,1022.9686
2023-06-12,1030.26,1026.64,1032.09,1022.4,4377578.23,star50,科创50,1032.225,1030.8116,1062.2631666666666,1027.4705,1022.37085
2023-06-13,1025.21,1039.46,1043.96,1021.27,3988240.69,star50,科创50,1032.9045,1031.0216,1062.7991666666667,1027.8884166666667,1021.8494000000001
2023-06-14,1038.89,1035.31,1040.33,1031.07,3294447.79,star50,科创50,1033.1875,1031.4056,1063.5136666666667,1028.3141666666666,1021.33945
2023-06-15,1036.31,1033.85,1038.72,1029.74,4031350.11,star50,科创50,1033.139,1031.7208,1063.8151666666668,1028.68625,1020.84715
2023-06-16,1034.42,1052.88,1055.08,1032.31,4229049.37,star50,科创50,1033.775,1033.2716,1064.2745,1029.30725,1020.3784
2023-06-19,1053.34,1055.45,1059.98,1044.98,3736427.0,star50,科创50,1034.942,1034.458,1064.6955,1030.1344166666665,1020.1134
2023-06-20,1054.51,1055.41,1058.6,1043.5,4149603.36,star50,科创50,1036.9070000000002,1035.6396,1065.0515,1030.98975,1019.85405
2023-06-21,1050.12,1020.22,1051.02,1020.14,3353382.25,star50,科创50,1037.3295,1035.2623999999998,1064.4053333333334,1031.65125,1019.4186500000001
2023-06-26,1011.15,1010.31,1029.94,1006.35,3939414.36,star50,科创50,1036.759,1034.282,1063.5606666666667,1032.3138333333334,1019.1253
2023-06-27,1011.08,1011.35,1018.9,1006.79,3431992.76,star50,科创50,1035.3935,1033.1296,1062.7916666666667,1033.0721666666666,1018.9025999999999
2023-06-28,1017.08,1008.22,1019.67,996.14,3444329.03,star50,科创50,1034.3854999999999,1032.174,1062.2848333333334,1033.5480833333334,1018.71375
2023-06-29,1004.54,1001.46,1012.06,1001.46,3121909.77,star50,科创50,1032.2369999999999,1031.588,1061.2735,1033.8674166666667,1018.44965
2023-06-30,999.18,1005.15,1009.1,997.54,3094198.01,star50,科创50,1029.799,1031.3232,1060.2645,1034.2664166666666,1018.2239999999999
2023-07-03,1006.58,1008.4,1013.19,999.16,4218681.11,star50,科创50,1027.5415,1030.7904,1059.0455,1034.651,1018.1177
2023-07-04,1008.43,1015.4,1022.46,1004.12,3525085.94,star50,科创50,1025.647,1029.86,1057.194,1035.1135000000002,1018.0664
2023-07-05,1013.38,1005.73,1016.81,1004.54,2851577.17,star50,科创50,1023.347,1028.954,1055.1381666666666,1035.3286666666668,1017.94445
2023-07-06,1004.67,1002.11,1012.85,1001.37,2851424.75,star50,科创50,1022.3035,1027.2612,1052.724,1035.5764166666665,1017.8330500000001
2023-07-07,1001.02,991.85,1002.45,989.66,2877104.62,star50,科创50,1020.9435000000001,1024.7788,1049.9045,1035.6458333333333,1017.6134000000001
2023-07-10,992.74,993.73,1001.03,990.25,2750745.99,star50,科创50,1020.2740000000001,1022.3860000000001,1047.6471666666666,1035.66775,1017.3341499999999
2023-07-11,996.56,1001.41,1003.22,994.26,2971280.31,star50,科创50,1018.717,1020.3108,1045.6416666666667,1035.7739166666665,1017.13735
2023-07-12,999.24,984.98,1000.01,984.03,3492460.13,star50,科创50,1016.634,1017.6408,1043.2345,1035.7294166666666,1016.89335
2023-07-13,988.7,995.97,997.7,988.59,2933534.25,star50,科创50,1014.4594999999999,1016.5604,1041.4985,1035.9128333333333,1016.71735
