date,open,close,high,low,amount,instrument_key,instrument_name,ma20,ma25,ma60,ma120,ma200
2022-09-07,2525.15,2570.8,2584.85,2522.38,85303218.0,chinext,创业板指,2661.2895,2663.1696,2713.3478333333333,2587.183083333333,2798.87195
2022-09-08,2570.05,2523.01,2572.12,2521.54,80873956.0,chinext,创业板指,2651.3655,2658.4588,2712.3068333333335,2586.2491666666665,2794.5184499999996
2022-09-09,2535.74,2548.22,2551.05,2525.77,70056668.0,chinext,创业板指,2644.2349999999997,2653.0436,2710.490333333333,2584.8949166666666,2790.1528999999996
2022-09-13,2566.84,2550.63,2569.11,2537.28,70149154.0,chinext,创业板指,2635.8370000000004,2648.0412,2707.831833333333,2583.5352500000004,2785.9864999999995
2022-09-14,2512.28,2503.82,2527.28,2486.08,70540152.0,chinext,创业板指,2624.4585,2640.402,2704.679166666667,2581.68225,2781.4108
2022-09-15,2512.45,2424.19,2515.21,2404.44,92202708.0,chinext,创业板指,2606.7725,2631.0264,2700.4608333333335,2579.4819166666666,2776.0031
2022-09-16,2418.44,2367.4,2430.23,2366.89,81543819.0,chinext,创业板指,2586.3514999999998,2616.8628,2693.9158333333335,2576.577333333333,2770.37625
2022-09-19,2360.58,2350.38,2389.48,2339.03,70238823.0,chinext,创业板指,2567.1595,2603.2448,2686.0148333333336,2573.6120833333334,2764.73485
2022-09-20,2366.79,2366.9,2397.92,2351.89,61600322.0,chinext,创业板指,2546.5535,2589.1772,2678.2865,2571.353416666667,2759.1971000000003
2022-09-21,2353.78,2331.52,2358.96,2322.95,63645768.0,chinext,创业板指,2524.114,2573.1824,2669.8048333333336,2569.165,2753.5103500000005
2022-09-22,2309.29,2319.42,2348.76,2302.64,62689388.0,chinext,创业板指,2506.1325,2554.8428,2662.3183333333336,2566.887916666667,2747.5903999999996
2022-09-23,2320.92,2303.91,2336.29,2275.29,68529871.0,chinext,创业板指,2487.963,2535.9664,2653.8735,2563.6135833333333,2741.632
2022-09-26,2288.23,2323.05,2358.48,2285.64,67549810.0,chinext,创业板指,2472.1009999999997,2519.5196,2646.2253333333333,2560.8099166666666,2735.8804000000005
2022-09-27,2336.04,2374.74,2374.74,2325.65,66154658.0,chinext,创业板指,2459.3125,2503.3484,2638.5595,2558.374666666666,2730.41955
2022-09-28,2367.48,2313.77,2367.48,2313.77,65851571.0,chinext,创业板指,2444.3940000000002,2484.6868000000004,2630.0368333333336,2555.706833333333,2724.5950499999994
2022-09-29,2343.28,2333.0,2359.12,2321.56,63693252.0,chinext,创业板指,2432.5235000000002,2470.8448000000003,2622.208166666667,2553.66075,2719.2304
2022-09-30,2335.54,2288.97,2339.19,2288.19,58126088.0,chinext,创业板指,2420.2795,2455.7115999999996,2612.8625,2551.3195833333334,2713.83135
2022-10-10,2294.72,2236.24,2301.24,2230.64,61381112.0,chinext,创业板指,2405.4404999999997,2439.5496000000003,2603.1725,2549.4379166666668,2707.88905
2022-10-11,2256.34,2261.89,2273.9,2245.47,55209963.0,chinext,创业板指,2391.625,2424.8048,2594.746333333334,2547.25625,2701.9019
2022-10-12,2260.68,2343.3,2343.5,2234.46,73388821.0,chinext,创业板指,2381.7580000000003,2414.0512,2588.7565000000004,2546.2267500000003,2696.2844
2022-10-13,2324.47,2350.69,2374.61,2318.27,78662261.0,chinext,创业板指,2370.7524999999996,2405.2624,2582.1536666666666,2545.263416666667,2690.55305
2022-10-14,2379.83,2434.22,2453.04,2365.14,89092346.0,chinext,创业板指,2366.313,2401.2772,2575.7385,2545.045583333333,2685.24885
2022-10-17,2419.64,2435.02,2446.7,2409.52,90090084.0,chinext,创业板指,2360.6530000000002,2397.3572,2570.313833333333,2544.606,2680.10015
2022-10-18,2446.36,2446.93,2469.03,2428.15,88359500.0,chinext,创业板指,2355.468,2393.7064,2564.423333333333,2544.5508333333332,2674.8825500000003
2022-10-19,2440.03,2425.96,2463.78,2425.73,82210782.0,chinext,创业板指,2351.575,2389.1191999999996,2559.008166666667,2545.0700833333335,2669.84065
2022-10-20,2402.76,2401.72,2444.41,2365.72,85813403.0,chinext,创业板指,2350.4515,2382.356,2552.950833333334,2545.8139166666665,2665.1862
2022-10-21,2390.41,2395.16,2410.01,2381.21,73036725.0,chinext,创业板指,2351.8395,2377.242,2547.0133333333333,2546.63525,2660.4098500000005
2022-10-24,2385.82,2336.84,2412.6,2323.85,91295158.0,chinext,创业板指,2351.1624999999995,2368.7868,2540.3388333333337,2548.0339166666668,2655.2505499999997
2022-10-25,2323.84,2314.55,2344.39,2281.4,94415846.0,chinext,创业板指,2348.545,2359.3436,2533.8321666666666,2549.4009166666665,2649.9548000000004
2022-10-26,2324.77,2372.88,2397.13,2320.27,109525370.0,chinext,创业板指,2350.613,2354.106,2528.1558333333332,2550.2651666666666,2645.33365
2022-10-27,2377.18,2337.25,2377.68,2337.25,110646350.0,chinext,创业板指,2351.5045,2350.6284,2521.8725,2551.1785,2640.5508499999996
2022-10-28,2309.96,2250.51,2326.49,2245.46,110423289.0,chinext,创业板指,2348.8345,2345.9528,2514.282666666667,2550.606583333333,2635.1606
2022-10-31,2228.62,2265.08,2295.95,2227.83,99957675.0,chinext,创业板指,2345.936,2342.5408,2507.5265,2550.4122500000003,2630.0765
2022-11-01,2270.04,2337.65,2337.82,2251.8,105057129.0,chinext,创业板指,2344.0815000000002,2341.3708,2500.925,2551.184583333333,2625.1508000000003
2022-11-02,2322.98,2375.86,2396.21,2320.55,122391054.0,chinext,创业板指,2347.186,2343.1443999999997,2495.8790000000004,2552.416166666667,2620.41675
2022-11-03,2352.56,2376.06,2385.06,2349.75,99317511.0,chinext,创业板指,2349.339,2345.41,2491.6663333333336,2553.2470833333336,2616.04625
2022-11-04,2378.42,2451.22,2464.51,2377.91,111460877.0,chinext,创业板指,2357.4515,2351.3024,2488.507,2554.1226666666666,2612.4948
2022-11-07,2447.13,2454.69,2470.64,2432.05,112728594.0,chinext,创业板指,2368.374,2356.5679999999998,2484.6918333333333,2554.9845,2609.13085
2022-11-08,2452.86,2432.4,2460.99,2411.72,98193744.0,chinext,创业板指,2376.8995,2358.8744,2480.637,2555.6031666666668,2605.80845
2022-11-09,2422.17,2399.34,2432.29,2398.07,92081565.0,chinext,创业板指,2379.7015,2362.2972,2475.712666666667,2556.1707499999998,2602.3267
2022-11-10,2380.23,2357.13,2393.61,2344.68,110856002.0,chinext,创业板指,2380.0235000000002,2363.2624,2470.6884999999997,2556.0710833333333,2598.8316
2022-11-11,2443.11,2405.32,2446.09,2402.94,142694126.0,chinext,创业板指,2378.5785,2367.9164,2465.4190000000003,2556.4039166666666,2595.17475
2022-11-14,2406.87,2375.21,2418.52,2364.44,119402147.0,chinext,创业板指,2375.5879999999997,2373.4752,2460.158666666667,2556.387916666667,2591.6351
2022-11-15,2373.99,2431.73,2432.46,2356.35,122265018.0,chinext,创业板指,2374.8280000000004,2380.2688,2455.3776666666663,2556.5077499999998,2588.1967
2022-11-16,2427.41,2402.91,2443.79,2399.7,118064542.0,chinext,创业板指,2373.6755,2382.6532,2449.903,2556.4476666666665,2584.3592
2022-11-17,2389.46,2385.86,2389.46,2351.0,115312132.0,chinext,创业板指,2372.8825,2384.06,2443.3688333333334,2557.0125833333336,2580.56685
2022-11-18,2394.31,2389.76,2420.38,2384.65,131120628.0,chinext,创业板指,2372.6125,2382.2816000000003,2436.9345000000003,2557.5472500000005,2577.13575
2022-11-21,2369.76,2387.3,2389.64,2360.85,108825983.0,chinext,创业板指,2375.1355000000003,2380.3728,2431.1524999999997,2558.0986666666668,2573.7423
2022-11-22,2380.71,2343.55,2382.14,2334.47,112251874.0,chinext,创业板指,2376.5855,2376.2376,2423.8946666666666,2558.2742500000004,2570.28665
2022-11-23,2338.86,2340.34,2357.0,2302.99,105290748.0,chinext,创业板指,2374.9585,2372.8128,2416.561833333333,2558.1905833333335,2566.7062
2022-11-24,2349.27,2335.52,2356.67,2330.37,85241459.0,chinext,创业板指,2374.8720000000003,2370.1648,2410.836333333333,2557.6109166666665,2563.509
2022-11-25,2325.57,2309.36,2327.28,2304.98,79167669.0,chinext,创业板指,2377.8145,2366.7327999999998,2404.8706666666667,2556.6142499999996,2560.03375
2022-11-28,2264.83,2298.8,2300.95,2261.05,79206175.0,chinext,创业板指,2379.5005,2365.2112,2399.179166666667,2555.2854166666666,2556.99395
2022-11-29,2301.21,2339.79,2347.71,2298.31,94029404.0,chinext,创业板指,2379.6075,2366.2208,2394.333833333333,2553.494833333333,2554.1482
2022-11-30,2335.95,2345.31,2348.16,2323.19,88305042.0,chinext,创业板指,2378.08,2365.1180000000004,2389.8866666666668,2551.7505,2551.2854500000003
2022-12-01,2386.08,2381.18,2403.77,2380.67,104066459.0,chinext,创业板指,2378.3360000000002,2366.8752000000004,2386.7328333333335,2550.1241666666665,2548.9589499999997
2022-12-02,2378.4,2383.32,2408.74,2369.31,97623944.0,chinext,创业板指,2374.941,2372.1876,2384.224,2549.1500833333334,2546.45755
2022-12-05,2391.1,2377.11,2394.43,2366.12,107238388.0,chinext,创业板指,2371.0620000000004,2376.6688,2381.6255,2547.6554166666665,2544.2104999999997
2022-12-06,2366.11,2393.28,2414.2,2365.69,98689267.0,chinext,创业板指,2369.106,2378.8940000000002,2379.2101666666667,2546.3786666666665,2542.445
2022-12-07,2382.56,2414.04,2432.11,2382.56,100195414.0,chinext,创业板指,2369.841,2380.4212,2377.1001666666666,2545.2597499999997,2540.8551500000003
2022-12-08,2411.8,2411.81,2423.16,2398.21,99090449.0,chinext,创业板指,2372.575,2381.8512,2374.4503333333337,2543.8990833333332,2538.8320000000003
2022-12-09,2412.16,2420.63,2421.65,2391.67,102812993.0,chinext,创业板指,2373.3405000000002,2380.6276000000003,2372.744,2542.5254166666664,2536.84315
2022-12-12,2409.44,2401.52,2418.06,2399.69,101889894.0,chinext,创业板指,2374.656,2378.5008000000003,2370.299,2540.3946666666666,2534.6516
2022-12-13,2403.74,2376.2,2404.88,2371.07,102392700.0,chinext,创业板指,2371.8795,2376.2528,2367.3918333333336,2537.611833333334,2532.39855
2022-12-14,2384.7,2368.08,2391.21,2362.61,94160383.0,chinext,创业板指,2370.138,2375.0024,2365.1295,2534.904333333333,2530.21595
2022-12-15,2365.23,2399.12,2399.36,2363.34,87634266.0,chinext,创业板指,2370.8010000000004,2376.6820000000002,2364.7116666666666,2532.58625,2528.3819999999996
2022-12-16,2381.68,2373.72,2390.66,2361.89,95162846.0,chinext,创业板指,2369.9990000000003,2375.4179999999997,2364.817,2529.3664166666667,2526.03125
2022-12-19,2372.93,2346.7,2389.3,2337.4,91660272.0,chinext,创业板指,2367.969,2374.2776,2364.7556666666665,2525.3852500000003,2523.84525
2022-12-20,2340.51,2310.8,2340.73,2308.57,73567498.0,chinext,创业板指,2366.3315000000002,2369.4404,2363.8206666666665,2521.0535833333333,2521.1202500000004
2022-12-21,2312.52,2303.7,2322.52,2293.58,69800264.0,chinext,创业板指,2364.4995,2365.472,2363.3570000000004,2516.580916666667,2518.2322
2022-12-22,2318.71,2295.32,2328.71,2288.52,76064883.0,chinext,创业板指,2362.4895,2361.8504000000003,2362.9553333333333,2512.6368333333335,2515.27985
2022-12-23,2282.33,2286.19,2301.62,2273.04,73658581.0,chinext,创业板指,2361.331,2357.7076,2362.6599999999994,2508.26675,2512.5375999999997
2022-12-26,2290.26,2331.41,2334.98,2290.16,71956299.0,chinext,创业板指,2362.9615,2355.4719999999998,2362.7993333333334,2504.512333333333,2510.2349000000004
2022-12-27,2335.57,2359.5,2363.15,2326.31,78477511.0,chinext,创业板指,2363.9469999999997,2356.11,2362.5453333333335,2500.5524166666664,2508.2892
2022-12-28,2346.04,2338.26,2348.85,2323.48,71406458.0,chinext,创业板指,2363.5945,2356.0268,2362.9535,2496.495166666667,2506.8286500000004
2022-12-29,2328.73,2349.38,2365.69,2327.69,69365878.0,chinext,创业板指,2362.0045,2356.5812,2363.2264999999998,2492.7173333333335,2505.6606
2022-12-30,2361.97,2346.77,2369.14,2346.77,69585618.0,chinext,创业板指,2360.177,2358.0776,2364.189833333333,2488.526166666666,2504.56085
2023-01-03,2339.98,2356.42,2361.55,2312.31,93658454.0,chinext,创业板指,2359.1425,2360.3824,2366.1928333333335,2484.682666666667,2503.167
2023-01-04,2347.0,2335.12,2352.33,2323.72,90279300.0,chinext,创业板指,2356.2345,2360.1956000000005,2367.413333333333,2481.0798333333337,2501.5153
2023-01-05,2343.78,2399.46,2405.43,2343.72,85907831.0,chinext,创业板指,2355.5055,2362.3616,2368.349333333333,2478.5529166666665,2500.66035
2023-01-06,2392.65,2422.14,2442.23,2391.33,85573573.0,chinext,创业板指,2356.022,2364.0,2369.5401666666667,2475.846916666667,2500.24715
2023-01-09,2433.35,2440.37,2455.6,2427.81,78388293.0,chinext,创业板指,2357.009,2366.2819999999997,2369.6426666666666,2472.6905833333335,2499.2736
2023-01-10,2441.5,2474.01,2478.89,2435.19,72002027.0,chinext,创业板指,2360.6335,2370.158,2370.2925000000005,2470.3031666666666,2498.09
2023-01-11,2470.64,2445.97,2480.16,2442.73,73684723.0,chinext,创业板指,2364.122,2372.2656,2370.2765000000004,2467.349916666667,2496.7509
2023-01-12,2455.73,2458.49,2477.01,2448.76,70121680.0,chinext,创业板指,2368.6425,2374.0436,2370.8186666666666,2464.913416666667,2495.41245
2023-01-13,2475.14,2493.13,2493.13,2462.87,68126839.0,chinext,创业板指,2373.343,2377.2964,2372.342166666667,2462.6465000000003,2494.43695
2023-01-16,2490.72,2539.52,2566.69,2490.72,83381688.0,chinext,创业板指,2381.633,2382.0519999999997,2374.7481666666667,2460.88075,2493.5548
2023-01-17,2540.57,2545.55,2556.64,2535.18,67461365.0,chinext,创业板指,2391.5755,2387.8132,2378.2266666666665,2459.28275,2492.7515
2023-01-18,2548.7,2543.9,2555.69,2534.43,67165684.0,chinext,创业板指,2403.2305,2394.5212,2382.0491666666667,2457.940666666667,2492.2813
2023-01-19,2539.89,2571.44,2571.44,2531.96,73852810.0,chinext,创业板指,2416.6175,2402.6556,2385.3585000000003,2456.7571666666668,2492.16785
2023-01-20,2580.27,2585.96,2588.89,2571.83,77283023.0,chinext,创业板指,2431.1495000000004,2410.1292,2389.5036666666665,2455.6880833333335,2492.1342999999997
2023-01-30,2657.39,2613.89,2661.28,2611.13,120029576.0,chinext,创业板指,2447.5345,2419.736,2395.5599999999995,2454.921333333333,2491.7196
2023-01-31,2608.12,2580.84,2618.28,2575.53,104621847.0,chinext,创业板指,2460.0060000000003,2429.1016,2400.822666666667,2454.1745833333334,2491.3263500000003
2023-02-01,2592.45,2613.69,2613.69,2572.33,128986555.0,chinext,创业板指,2472.7155000000002,2441.2172000000005,2405.423333333333,2453.1741666666667,2491.05995
2023-02-02,2619.79,2602.32,2631.86,2598.12,136608702.0,chinext,创业板指,2485.9185,2453.1620000000003,2409.1976666666665,2452.5383333333334,2490.902
2023-02-03,2592.84,2580.11,2606.0,2551.83,123099432.0,chinext,创业板指,2497.4550000000004,2464.5535999999997,2412.5985,2452.132416666667,2490.9099
2023-02-06,2560.46,2544.09,2560.46,2523.71,126522451.0,chinext,创业板指,2507.321,2474.8696,2414.146333333333,2451.326666666667,2490.7808
2023-02-07,2551.13,2537.97,2557.38,2522.55,135280866.0,chinext,创业板指,2516.3985000000002,2483.132,2415.5343333333335,2450.113083333333,2491.1604500000003
2023-02-08,2542.24,2525.88,2550.37,2522.53,127104679.0,chinext,创业板指,2525.9365,2489.7872,2417.0923333333335,2448.864666666667,2491.1714
2023-02-09,2520.83,2569.73,2569.99,2515.51,136225559.0,chinext,创业板指,2534.45,2499.0460000000003,2419.9321666666665,2447.822416666667,2491.68585
2023-02-10,2567.09,2545.16,2571.2,2531.87,138194029.0,chinext,创业板指,2540.601,2506.8772,2423.066,2446.87725,2492.0802000000003
2023-02-13,2546.14,2573.18,2576.04,2540.85,136849639.0,chinext,创业板指,2547.2414999999996,2515.9336,2425.863666666666,2445.6413333333335,2492.6443000000004
2023-02-14,2585.97,2565.15,2586.18,2551.47,125973041.0,chinext,创业板指,2551.7985,2524.2828,2429.0293333333334,2444.594,2493.0312
2023-02-15,2564.54,2547.2,2574.58,2543.64,140353889.0,chinext,创业板指,2556.86,2532.7659999999996,2430.9538333333335,2443.1657499999997,2493.4994500000003
2023-02-16,2549.43,2512.5,2567.29,2495.16,175758553.0,chinext,创业板指,2559.5605000000005,2537.2875999999997,2432.7803333333336,2441.3416666666667,2494.2437
2023-02-17,2508.26,2449.35,2513.21,2449.35,135687930.0,chinext,创业板指,2557.3715,2538.376,2433.8385,2438.603666666667,2494.9281499999997
2023-02-20,2445.64,2480.79,2481.57,2424.63,117685679.0,chinext,创业板指,2554.4350000000004,2539.9928,2435.355666666667,2436.1450833333333,2495.8491
