source_name,target_name,ma_window,rate_3,n_3,rate_5,n_5,rate_10,n_10,denominator,same_day_rate,avg_lag_10,median_lag_10,rate_20,n_20
中证1000,创业板指,20,0.375,104,0.3942307692307692,104,0.46153846153846156,104,104,0.25,1.8125,0.0,0.5961538461538461,104
中证1000,创业板指,25,0.3448275862068966,87,0.3563218390804598,87,0.41379310344827586,87,87,0.22988505747126436,1.7777777777777777,0.0,0.5517241379310345,87
中证1000,沪深300,20,0.3053435114503817,131,0.32061068702290074,131,0.3816793893129771,131,131,0.22900763358778625,1.88,0.0,0.48091603053435117,131
中证1000,沪深300,25,0.26851851851851855,108,0.28703703703703703,108,0.37037037037037035,108,108,0.17592592592592593,2.65,1.0,0.48148148148148145,108
中证1000,科创50,20,0.2222222222222222,45,0.24444444444444444,45,0.26666666666666666,45,45,0.15555555555555556,1.75,0.0,0.4,45
中证1000,科创50,25,0.19444444444444445,36,0.2222222222222222,36,0.2777777777777778,36,36,0.16666666666666666,2.2,0.0,0.3888888888888889,36
中证红利,上证50,20,0.40298507462686567,134,0.4253731343283582,134,0.4701492537313433,134,134,0.2537313432835821,1.5555555555555556,0.0,0.5746268656716418,134
中证红利,上证50,25,0.35294117647058826,119,0.4117647058823529,119,0.453781512605042,119,119,0.24369747899159663,1.7407407407407407,0.0,0.5462184873949579,119
中证红利,上证指数,20,0.5223880597014925,134,0.5298507462686567,134,0.582089552238806,134,134,0.41044776119402987,1.1666666666666667,0.0,0.664179104477612,134
中证红利,上证指数,25,0.5378151260504201,119,0.5714285714285714,119,0.5966386554621849,119,119,0.4117647058823529,0.9859154929577465,0.0,0.6554621848739496,119
中证红利,中证1000,20,0.34328358208955223,134,0.373134328358209,134,0.44776119402985076,134,134,0.15671641791044777,2.3666666666666667,1.0,0.5522388059701493,134
中证红利,中证1000,25,0.33613445378151263,119,0.36134453781512604,119,0.42857142857142855,119,119,0.19327731092436976,2.1176470588235294,1.0,0.4957983193277311,119
中证红利,创业板指,20,0.24271844660194175,103,0.2815533980582524,103,0.3300970873786408,103,103,0.1650485436893204,2.2941176470588234,0.5,0.47572815533980584,103
中证红利,创业板指,25,0.15463917525773196,97,0.1958762886597938,97,0.26804123711340205,97,97,0.1134020618556701,3.230769230769231,1.0,0.4020618556701031,97
中证红利,沪深300,20,0.5074626865671642,134,0.5074626865671642,134,0.5447761194029851,134,134,0.3656716417910448,1.0684931506849316,0.0,0.6268656716417911,134
中证红利,沪深300,25,0.46218487394957986,119,0.5042016806722689,119,0.5294117647058824,119,119,0.31932773109243695,1.1587301587301588,0.0,0.6134453781512605,119
中证红利,科创50,20,0.06521739130434782,46,0.08695652173913043,46,0.15217391304347827,46,46,0.021739130434782608,5.142857142857143,5.0,0.3695652173913043,46
中证红利,科创50,25,0.11363636363636363,44,0.1590909090909091,44,0.20454545454545456,44,44,0.045454545454545456,3.3333333333333335,3.0,0.3409090909090909,44
创业板指,上证50,20,0.24509803921568626,102,0.29411764705882354,102,0.39215686274509803,102,102,0.11764705882352941,3.15,1.0,0.5294117647058824,102
创业板指,上证50,25,0.2235294117647059,85,0.2823529411764706,85,0.36470588235294116,85,85,0.1411764705882353,2.7419354838709675,1.0,0.4823529411764706,85
创业板指,上证指数,20,0.38235294117647056,102,0.4019607843137255,102,0.47058823529411764,102,102,0.28431372549019607,1.8541666666666667,0.0,0.5980392156862745,102
创业板指,上证指数,25,0.35294117647058826,85,0.38823529411764707,85,0.4588235294117647,85,85,0.18823529411764706,2.1025641025641026,1.0,0.611764705882353,85
创业板指,中证1000,20,0.45098039215686275,102,0.4803921568627451,102,0.5882352941176471,102,102,0.2549019607843137,2.45,1.0,0.7058823529411765,102
创业板指,中证1000,25,0.43529411764705883,85,0.4470588235294118,85,0.5882352941176471,85,85,0.23529411764705882,2.8,1.0,0.6941176470588235,85
创业板指,中证红利,20,0.2549019607843137,102,0.27450980392156865,102,0.38235294117647056,102,102,0.16666666666666666,2.871794871794872,1.0,0.5490196078431373,102
创业板指,中证红利,25,0.2235294117647059,85,0.23529411764705882,85,0.35294117647058826,85,85,0.12941176470588237,3.2,1.0,0.5176470588235295,85
创业板指,沪深300,20,0.4117647058823529,102,0.4215686274509804,102,0.5098039215686274,102,102,0.29411764705882354,1.9230769230769231,0.0,0.6176470588235294,102
创业板指,沪深300,25,0.36470588235294116,85,0.38823529411764707,85,0.4470588235294118,85,85,0.23529411764705882,1.8157894736842106,0.0,0.5882352941176471,85
创业板指,科创50,20,0.24390243902439024,41,0.2682926829268293,41,0.3170731707317073,41,41,0.12195121951219512,2.3846153846153846,2.0,0.4878048780487805,41
创业板指,科创50,25,0.34375,32,0.34375,32,0.375,32,32,0.25,1.1666666666666667,0.0,0.5,32
沪深300,上证50,20,0.6212121212121212,132,0.6515151515151515,132,0.6893939393939394,132,132,0.4621212121212121,0.978021978021978,0.0,0.7424242424242424,132
沪深300,上证50,25,0.4827586206896552,116,0.5258620689655172,116,0.5948275862068966,116,116,0.33620689655172414,1.6521739130434783,0.0,0.6551724137931034,116
沪深300,上证指数,20,0.7196969696969697,132,0.7348484848484849,132,0.7803030303030303,132,132,0.5681818181818182,0.8446601941747572,0.0,0.8333333333333334,132
沪深300,上证指数,25,0.6551724137931034,116,0.6551724137931034,116,0.6896551724137931,116,116,0.4827586206896552,0.675,0.0,0.7586206896551724,116
沪深300,中证1000,20,0.4696969696969697,132,0.5151515151515151,132,0.5833333333333334,132,132,0.22727272727272727,1.974025974025974,1.0,0.7196969696969697,132
沪深300,中证1000,25,0.4224137931034483,116,0.4482758620689655,116,0.5517241379310345,116,116,0.16379310344827586,2.53125,1.0,0.6637931034482759,116
沪深300,中证红利,20,0.5454545454545454,132,0.5833333333333334,132,0.6515151515151515,132,132,0.3712121212121212,1.5116279069767442,0.0,0.7348484848484849,132
沪深300,中证红利,25,0.47413793103448276,116,0.49137931034482757,116,0.5431034482758621,116,116,0.3275862068965517,1.3174603174603174,0.0,0.6379310344827587,116
沪深300,创业板指,20,0.40384615384615385,104,0.46153846153846156,104,0.5288461538461539,104,104,0.28846153846153844,1.8545454545454545,0.0,0.6153846153846154,104
沪深300,创业板指,25,0.3516483516483517,91,0.3956043956043956,91,0.4725274725274725,91,91,0.21978021978021978,2.2093023255813953,1.0,0.5494505494505495,91
沪深300,科创50,20,0.2558139534883721,43,0.3023255813953488,43,0.3488372093023256,43,43,0.16279069767441862,1.8666666666666667,1.0,0.5116279069767442,43
沪深300,科创50,25,0.2571428571428571,35,0.2571428571428571,35,0.3142857142857143,35,35,0.14285714285714285,1.8181818181818181,1.0,0.42857142857142855,35
科创50,上证50,20,0.16666666666666666,36,0.16666666666666666,36,0.3333333333333333,36,36,0.1111111111111111,4.25,4.5,0.6666666666666666,36
科创50,上证50,25,0.2647058823529412,34,0.29411764705882354,34,0.4117647058823529,34,34,0.17647058823529413,3.2142857142857144,1.5,0.6176470588235294,34
科创50,上证指数,20,0.3611111111111111,36,0.3611111111111111,36,0.4444444444444444,36,36,0.16666666666666666,2.4375,1.5,0.6666666666666666,36
科创50,上证指数,25,0.38235294117647056,34,0.38235294117647056,34,0.4117647058823529,34,34,0.14705882352941177,1.7857142857142858,1.0,0.6764705882352942,34
科创50,中证1000,20,0.3888888888888889,36,0.4444444444444444,36,0.5555555555555556,36,36,0.19444444444444445,3.05,2.0,0.7777777777777778,36
科创50,中证1000,25,0.35294117647058826,34,0.35294117647058826,34,0.5,34,34,0.17647058823529413,3.4705882352941178,2.0,0.7058823529411765,34
科创50,中证红利,20,0.1111111111111111,36,0.1388888888888889,36,0.2777777777777778,36,36,0.027777777777777776,5.4,5.5,0.5833333333333334,36
科创50,中证红利,25,0.14705882352941177,34,0.17647058823529413,34,0.2647058823529412,34,34,0.058823529411764705,4.111111111111111,3.0,0.5294117647058824,34
科创50,创业板指,20,0.3055555555555556,36,0.3611111111111111,36,0.5,36,36,0.1388888888888889,3.0,2.0,0.5833333333333334,36
科创50,创业板指,25,0.4411764705882353,34,0.4411764705882353,34,0.5882352941176471,34,34,0.23529411764705882,2.65,1.0,0.6764705882352942,34
科创50,沪深300,20,0.25,36,0.3055555555555556,36,0.3888888888888889,36,36,0.19444444444444445,2.642857142857143,0.5,0.6666666666666666,36
科创50,沪深300,25,0.29411764705882354,34,0.3235294117647059,34,0.4411764705882353,34,34,0.14705882352941177,3.6,2.0,0.6470588235294118,34
