d1_idx,d1_date,year,reached_day2,true_breakdown,index_key,index_name,ma_window
4285,2021-08-19,2021,True,False,sse,上证指数,20
4309,2021-09-24,2021,True,True,sse,上证指数,20
4365,2021-12-20,2021,False,False,sse,上证指数,20
4369,2021-12-24,2021,True,False,sse,上证指数,20
4372,2021-12-29,2021,True,False,sse,上证指数,20
4375,2022-01-04,2022,True,True,sse,上证指数,20
4413,2022-03-04,2022,True,True,sse,上证指数,20
4498,2022-07-11,2022,True,True,sse,上证指数,20
4530,2022-08-24,2022,True,True,sse,上证指数,20
4607,2022-12-19,2022,True,True,sse,上证指数,20
4644,2023-02-16,2023,True,False,sse,上证指数,20
4650,2023-02-24,2023,True,False,sse,上证指数,20
4658,2023-03-08,2023,True,True,sse,上证指数,20
4689,2023-04-21,2023,True,True,sse,上证指数,20
4699,2023-05-10,2023,True,True,sse,上证指数,20
4729,2023-06-21,2023,True,True,sse,上证指数,20
4738,2023-07-06,2023,True,True,sse,上证指数,20
4764,2023-08-11,2023,True,True,sse,上证指数,20
4783,2023-09-07,2023,True,False,sse,上证指数,20
4787,2023-09-13,2023,False,False,sse,上证指数,20
4789,2023-09-15,2023,False,False,sse,上证指数,20
4792,2023-09-20,2023,True,False,sse,上证指数,20
4795,2023-09-25,2023,True,True,sse,上证指数,20
4833,2023-11-24,2023,True,True,sse,上证指数,20
4862,2024-01-05,2024,True,True,sse,上证指数,20
4879,2024-01-30,2024,True,True,sse,上证指数,20
4912,2024-03-25,2024,True,True,sse,上证指数,20
4920,2024-04-08,2024,True,True,sse,上证指数,20
4931,2024-04-23,2024,False,False,sse,上证指数,20
4950,2024-05-23,2024,True,True,sse,上证指数,20
5058,2024-11-01,2024,False,False,sse,上证指数,20
5068,2024-11-15,2024,True,True,sse,上证指数,20
5094,2024-12-23,2024,False,False,sse,上证指数,20
5100,2024-12-31,2024,True,True,sse,上证指数,20
5136,2025-02-28,2025,True,True,sse,上证指数,20
5151,2025-03-21,2025,True,True,sse,上证指数,20
5194,2025-05-27,2025,True,False,sse,上证指数,20
5197,2025-05-30,2025,False,False,sse,上证指数,20
5210,2025-06-19,2025,True,False,sse,上证指数,20
5265,2025-09-04,2025,False,False,sse,上证指数,20
